"","TBL_ID","Period","CODE","SCR_MN","SCR_ENG","CODE1","SCR_MN1","SCR_ENG1","CODE2","SCR_MN2","SCR_ENG2","DTVAL_CO"
"1","DT_NSO_2001_014V1",2023,15,"Байгалийн шинжлэх ухаан, математик, статистик","Natural sciences, mathematics and statistics",NA,NA,NA,NA,NA,NA,522
"2","DT_NSO_2001_014V1",2022,15,"Байгалийн шинжлэх ухаан, математик, статистик","Natural sciences, mathematics and statistics",NA,NA,NA,NA,NA,NA,476
"3","DT_NSO_2001_014V1",2021,15,"Байгалийн шинжлэх ухаан, математик, статистик","Natural sciences, mathematics and statistics",NA,NA,NA,NA,NA,NA,767
"4","DT_NSO_2001_014V1",2020,15,"Байгалийн шинжлэх ухаан, математик, статистик","Natural sciences, mathematics and statistics",NA,NA,NA,NA,NA,NA,864
"5","DT_NSO_2001_014V1",2019,15,"Байгалийн шинжлэх ухаан, математик, статистик","Natural sciences, mathematics and statistics",NA,NA,NA,NA,NA,NA,745
