Огноо,Өлгий,Алтай,Улиастай,Тосонцэнгэл,Улаангом,Ховд,Цэцэрлэг,Баянхонгор,Булган,Эрдэнэт,Арвайхээр,Хархорин,Мөрөн,Хатгал,Чойр,Дархан,Сайншанд,Замын-Үүд,Мандалговь,Даланзадгад,Ханбогд,Сүхбаатар,Баруунхараа,Зүүнхараа,Зуунмод,Чойбалсан,Баруун-Урт,Өндөрхаан,Улаанбаатар
201206,27,19,18,18,28,17,14,18,18,18,18,8,24,14,14,17,26,24,27,22,12,20,11,18,21,22,20,26,20
201207,20,17,16,14,18,16,12,17,17,19,15,20,14,16,8,16,16,22,25,21,12,16,12,12,16,20,22,24,17
201208,25,27,18,14,20,18,17,19,24,14,18,16,20,16,14,18,16,25,20,17,12,19,19,12,19,25,17,24,20
201209,16,12,7,6,8,8,10,12,7,6,13,12,7,12,12,8,13,18,14,9,25,11,8,10,8,8,11,10,8
201210,25,23,16,18,16,14,10,15,15,15,18,12,17,16,9,12,24,19,21,20,12,18,14,8,17,17,12,18,14
201211,27,28,20,12,14,20,19,17,14,15,20,24,14,16,12,16,28,26,25,23,24,18,8,13,20,14,16,14,13
201212,20,21,14,14,4,10,17,14,14,14,18,24,17,16,9,12,17,17,19,29,10,18,7,8,19,16,16,17,13
201301,24,6,6,4,20,20,14,12,11,11,16,24,5,14,16,12,16,18,20,16,12,12,5,6,19,15,21,14,12
201302,31,23,28,13,6,24,25,24,23,18,22,14,15,14,12,14,24,26,26,18,20,13,6,14,19,18,18,20,14
201303,28,20,24,16,18,24,25,22,22,15,24,28,24,17,20,19,29,20,25,20,24,20,11,17,23,19,23,22,18
201304,20,21,16,18,17,16,19,18,18,16,18,14,20,18,24,16,27,20,23,20,16,18,14,13,21,22,24,24,15
201305,28,28,20,18,24,22,22,24,23,20,22,22,28,16,20,20,31,26,28,28,20,22,14,24,24,24,21,28,22
201306,23,28,24,18,21,18,19,16,22,17,18,14,24,16,12,18,26,22,23,20,16,20,12,14,18,18,17,28,18
201307,28,21,14,17,21,14,20,15,15,18,15,20,14,16,14,14,26,18,26,24,14,18,14,15,18,18,21,20,15
201308,12,12,12,11,12,11,11,11,11,12,12,8,11,11,10,11,12,12,12,12,11,12,11,8,11,13,12,12,11
201309,25,26,17,18,21,16,15,16,18,18,19,14,26,16,9,17,24,19,24,20,16,19,13,15,14,21,19,18,16
201310,22,31,16,9,14,16,16,14,18,15,22,14,17,14,17,20,35,19,29,21,20,18,15,9,26,18,22,20,19
201311,16,19,10,9,19,12,18,15,13,13,17,16,15,16,10,12,23,19,17,20,14,16,12,11,16,17,15,18,14
201312,21,16,8,11,11,8,18,15,19,16,17,14,18,10,12,10,18,14,20,22,14,14,11,8,14,17,16,16,15
201401,25,22,8,8,6,16,16,16,17,13,18,20,19,18,14,12,25,18,20,23,18,12,10,10,14,14,14,14,12
201402,26,23,20,12,6,10,16,16,15,12,20,28,16,16,10,14,20,15,18,18,14,13,11,12,14,20,17,14,12
201403,23,20,12,18,7,12,18,20,18,17,24,24,18,24,18,17,24,20,29,25,20,19,17,19,18,14,20,20,18
201404,28,23,20,13,26,18,18,18,16,17,15,18,18,24,18,22,22,16,25,21,16,24,20,19,14,20,23,21,24
201405,27,27,25,21,18,18,16,18,26,16,22,14,22,21,11,16,28,22,24,24,20,17,16,13,18,22,28,23,19
201406,27,26,22,20,21,14,18,18,23,21,20,16,25,16,10,19,25,26,21,17,12,18,17,18,14,16,28,21,23
201407,32,21,18,18,19,22,20,21,20,16,14,14,20,8,16,19,26,28,24,21,20,17,15,16,14,20,27,18,19
201408,24,22,20,17,16,14,14,17,20,14,15,20,16,10,12,14,25,16,24,21,14,14,15,16,20,20,26,17,20
201409,22,17,14,18,20,14,12,14,18,14,14,16,18,12,12,16,21,21,19,17,14,18,14,14,17,19,16,27,21
201410,24,26,18,15,23,19,12,19,17,13,10,14,14,14,10,15,20,18,20,21,16,19,16,12,17,20,14,18,17
201411,24,28,25,19,14,22,16,18,16,17,24,16,15,12,11,15,20,20,22,21,16,20,16,19,21,16,18,20,17
201412,24,18,8,7,5,15,16,18,15,12,14,18,12,12,9,10,14,14,18,16,14,12,16,13,14,16,13,18,12
201501,23,20,8,11,5,17,16,16,15,13,10,13,16,14,8,10,13,14,17,15,16,11,11,8,13,15,15,16,12
201502,27,26,17,14,11,20,16,20,13,10,24,12,16,12,14,14,21,23,28,17,19,14,12,11,18,14,14,21,14
201503,26,24,17,14,6,17,12,16,15,14,17,14,16,12,18,15,25,23,23,19,19,19,10,12,17,16,22,21,14
201504,26,28,18,18,23,21,18,22,21,16,22,16,20,14,18,19,25,19,24,23,20,20,24,22,19,19,22,24,20
201505,24,26,24,20,18,19,22,21,22,17,20,12,22,14,21,19,24,30,27,25,19,25,21,16,22,21,23,31,19
201506,21,20,25,18,16,17,21,18,20,14,20,13,18,14,12,11,20,22,23,24,14,25,19,15,24,19,23,22,19
201507,14,19,15,11,12,14,16,11,15,9,13,16,13,12,11,10,17,14,16,20,14,16,16,12,16,16,14,14,18
201508,23,21,23,15,16,16,21,17,22,20,19,19,16,16,9,14,26,16,18,19,16,22,18,12,18,18,20,27,22
201509,24,26,22,16,19,20,18,18,21,13,16,12,16,14,9,14,19,16,16,20,14,17,15,12,20,15,20,30,18
201510,25,26,16,18,32,22,23,22,21,14,21,13,19,14,12,12,20,21,25,17,14,15,15,10,21,20,21,23,19
201511,24,26,15,16,21,19,24,14,21,10,14,14,17,14,10,10,12,15,12,17,12,13,10,10,15,17,16,14,11
201512,20,21,10,7,8,16,16,13,12,12,18,13,12,8,9,9,13,15,20,18,12,11,10,6,17,14,16,16,12
201601,19,19,8,4,5,5,14,13,10,11,18,13,7,10,10,9,16,14,14,13,10,14,10,6,19,16,14,14,11
201602,18,15,10,8,6,6,18,15,10,12,12,13,15,14,11,12,16,16,16,15,15,15,14,11,16,13,12,19,14
201603,24,29,17,16,13,17,24,25,19,16,24,18,16,14,15,16,21,27,28,22,20,22,18,15,24,17,21,19,20
201604,22,27,18,19,19,17,21,21,23,16,24,23,20,16,20,19,25,23,20,22,22,26,20,20,23,25,24,24,18
201605,28,28,22,19,20,27,21,23,23,16,24,24,20,16,20,20,25,23,20,23,18,26,20,19,23,25,28,25,21
201606,20,25,16,18,20,16,17,20,21,12,16,14,14,12,16,17,21,19,16,22,16,19,15,14,17,18,21,20,15
201607,20,25,21,16,17,16,16,20,24,18,15,20,17,18,10,15,18,17,16,18,16,18,17,17,18,19,19,26,20
201608,23,21,18,14,25,16,17,15,12,18,15,17,15,10,10,15,19,18,14,16,12,16,16,18,16,16,18,20,14
201609,19,25,18,14,17,20,16,14,16,12,14,17,16,12,12,16,17,19,20,19,18,14,14,16,14,14,16,18,13
201610,22,23,17,17,18,30,19,18,15,15,15,17,17,10,10,13,17,22,13,16,16,14,15,14,14,14,17,16,23
201611,28,28,16,13,10,18,17,16,11,10,16,21,12,10,12,10,22,28,17,22,18,12,15,9,13,14,14,11,12
201612,24,22,10,10,0.7,20,16,12,13,10,12,18,10,14,8,11,14,15,16,21,20,13,13,14,17,12,10,16,11
201701,20,15,16,11,5,10,20,13,10,14,18,13,10,12,12,13,14,15,17,17,13,15,18,17,18,13,18,18,16
201702,22,19,8,12,5,16,16,12,10,12,14,16,10,10,12,10,17,18,15,20,13,14,11,11,21,14,12,16,14
201703,18,15,8,9,10,12,14,12,10,9,13,13,12,12,12,12,18,14,19,12,12,13,12,12,17,16,15,13,12
201704,23,21,16,16,15,20,22,19,22,15,16,18,20,12,12,18,25,23,27,18,17,18,22,21,22,20,20,25,16
201705,26,23,26,19,24,22,21,20,23,14,23,19,19,16,18,17,29,27,22,26,26,21,19,23,27,21,30,28,20
201706,25,19,24,27,19,19,20,25,27,18,18,24,19,12,12,18,23,18,22,18,20,21,18,22,30,18,24,20,23
201707,30,28,29,16,23,20,23,19,21,18,18,14,20,14,12,19,28,18,25,20,18,27,16,19,23,23,20,22,18
