ride_id,user_id,started,finished
135,271,1,1
136,271,1,1
137,271,1,1.32
138,271,1,1.46
139,271,1,0.85
140,271,1,1
141,271,1,0.32
143,271,1,1
144,271,1,1
145,271,1,1
252,271,1,0.54
108,278,1,0.91
110,278,1,1
117,278,1,0.69
126,278,1,1
131,278,1,1.05
134,278,1,1
137,278,1,1
138,278,1,1
145,278,1,0.5
106,280,1,1
107,280,1,1
108,280,1,1
109,280,1,1
111,280,1,1
112,280,1,1
114,280,1,1
116,280,1,1
118,280,1,0.63
123,280,1,1
126,280,1,1
250,280,1,0.62
135,280,1,1
136,280,1,0.79
145,280,1,2.09
146,280,1,1
252,280,1,0.51
105,281,1,1
111,281,1,0.41
106,74,1,1
107,74,1,1
108,74,1,1
110,74,1,1
112,74,1,0.4
114,74,1,1
106,282,1,1
107,282,1,1
108,282,1,1
110,282,1,1
111,282,1,0.53
114,282,1,1
107,107,1,1
109,107,1,1
111,107,1,1
112,107,1,1
114,107,1,1
131,107,1,1.05
133,107,1,1
135,107,1,1
136,107,1,1
137,107,1,1
138,107,1,1.46
140,107,1,1
141,107,1,1
142,107,1,1
252,107,1,0.65
106,283,1,1
107,283,1,1
109,283,1,1
110,283,1,1
113,283,1,1
114,283,1,1
116,283,1,1
119,283,1,1
122,283,1,1
107,87,1,1
108,87,1,1
109,87,1,1
110,87,1,1
111,87,1,1
112,87,1,1
113,87,1,1
116,87,1,1
119,87,1,1
123,87,1,1
109,4,1,1
110,4,1,1
112,4,1,1
114,4,1,1
116,4,1,0.36
119,4,1,1
122,4,1,1
126,4,1,1
127,4,1,1
128,4,1,1
130,4,1,1
250,4,1,0.38
131,4,1,1.05
134,4,1,1
136,4,1,0.83
137,4,1,1
138,4,1,1
141,4,1,1
142,4,1,1
145,4,1,0.5
146,4,1,1
252,4,1,0.52
110,284,1,1
111,284,1,0.53
112,284,1,1
122,284,1,1
126,284,1,1
127,284,1,1
128,284,1,1
130,284,1,0.51
131,284,1,1.05
137,284,1,1
138,284,1,1.46
139,284,1,0.95
141,284,1,1
142,284,1,1
252,284,1,0.37
111,285,1,1
114,285,1,1
116,285,1,1
123,285,1,1
126,285,1,1
110,286,1,1
111,286,1,1.07
113,286,1,0.84
107,287,1,1
109,287,1,1
114,287,1,1
116,287,1,1
135,287,1,1
140,287,1,1
112,8,1,1
114,8,1,1
116,8,1,1
119,8,1,1
122,8,1,1
126,8,1,0.6
128,8,1,1
130,8,1,1
131,8,1,1.05
134,8,1,1
136,8,1,0.83
137,8,1,1
138,8,1,1.53
141,8,1,1
142,8,1,1
144,8,1,1
145,8,1,0.5
146,8,1,1
252,8,1,0.41
108,288,1,1
110,288,1,1
119,288,1,1
122,288,1,1
128,288,1,1
140,288,1,1
109,289,1,1
111,289,1,1
119,289,1,1
112,290,1,0.61
113,290,1,0.5
119,290,1,1
126,290,1,0.6
120,291,1,0.59
117,292,1,1
121,292,1,1
123,292,1,1
126,292,1,1
131,292,1,1.05
135,292,1,1
114,293,1,1
127,293,1,1
128,293,1,1
138,293,1,1
127,43,1,1
128,43,1,1
134,43,1,1
145,43,1,0.5
146,43,1,1
119,49,1,1
250,49,1,0.78
138,49,1,1
127,81,1,1
135,81,1,0.51
137,81,1,1
140,81,1,1
137,294,1,1
138,294,1,1
128,295,1,1
135,295,1,0.51
140,295,1,1
141,295,1,1
143,295,1,0.53
135,369,1,0.4
137,369,1,1
145,369,1,1
135,23,1,0.51
141,23,1,1
146,23,1,1
