"ride_id","user_id","started","finished"
1,6,1,1
2,6,1,1
3,6,1,1
4,6,1,1
6,6,1,1
5,6,1,1
7,6,1,1
8,6,1,1
9,6,1,1
10,6,1,1
11,6,1,1
12,6,1,1
13,6,1,1
14,6,1,1
15,6,1,1
16,6,1,1
18,6,1,1
19,6,1,1
20,6,1,1
21,6,1,1
23,6,1,1
24,6,1,1
25,6,1,1
26,6,1,1
255,6,1,1
2,119,1,1
3,119,1,1
4,119,1,1
6,119,1,1
7,119,1,1
9,119,1,1
11,119,1,1
14,119,1,1
15,119,1,1
20,119,1,1
255,119,1,0.44
4,120,1,1
255,120,1,0.04
5,121,1,1
255,121,1,0
5,20,1,1
8,20,1,1
10,20,1,1
15,20,1,1
25,20,1,1
26,20,1,1
255,20,1,0.26
6,19,1,1
23,19,1,1
24,19,1,1
255,19,1,0.13
7,122,1,1
9,122,1,1
11,122,1,1
13,122,1,1
14,122,1,1
17,122,1,1
21,122,1,1
24,122,1,1
26,122,1,1
255,122,1,0.32
7,123,1,1
9,123,1,1
11,123,1,1
13,123,1,1
14,123,1,1
24,123,1,1
255,123,1,0.22
7,124,1,1
255,124,1,0.02
8,125,1,1
14,125,1,1
20,125,1,1
23,125,1,1
24,125,1,1
255,125,1,0.2
8,52,1,1
14,52,1,1
255,52,1,0.14
9,126,1,1
11,126,1,1
13,126,1,1
15,126,1,1
16,126,1,1
17,126,1,1
20,126,1,1
24,126,1,1
255,126,1,0.32
9,127,1,1
11,127,1,1
12,127,1,1
14,127,1,1
15,127,1,1
16,127,1,1
255,127,1,0.29
9,128,1,1
11,128,1,1
16,128,1,1
17,128,1,1
23,128,1,1
24,128,1,1
255,128,1,0.24
9,129,1,1
11,129,1,1
13,129,1,1
17,129,1,1
19,129,1,1
23,129,1,1
24,129,1,1
26,129,1,1
255,129,1,0.31
9,130,1,1
255,130,1,0.04
9,131,1,1
23,131,1,1
255,131,1,0.08
9,132,1,1
255,132,1,0.04
9,133,1,1
17,133,1,1
255,133,1,0.08
9,134,1,1
255,134,1,0.04
11,358,1,1
16,358,1,1
24,358,1,1
26,358,1,1
255,358,1,0.17
11,136,1,1
14,136,1,1
15,136,1,1
17,136,1,1
20,136,1,1
21,136,1,0.78
23,136,1,1
24,136,1,1
25,136,1,1
255,136,1,0.3
11,137,1,1
14,137,1,1
255,137,1,0.08
11,138,1,1
13,138,1,1
16,138,1,1
17,138,1,1
23,138,1,1
255,138,1,0.22
11,139,1,1
24,139,1,1
255,139,1,0.07
11,140,1,1
14,140,1,1
18,140,1,1
255,140,1,0.1
11,141,1,1
255,141,1,0.05
13,142,1,1
255,142,1,0.05
13,143,1,1
255,143,1,0.05
13,144,1,1
255,144,1,0.05
14,145,1,1
255,145,1,0.04
15,146,1,1
19,146,1,0.23
255,146,1,0.07
15,147,1,1
16,147,1,1
255,147,1,0.11
15,148,1,1
16,148,1,1
255,148,1,0.11
15,149,1,1
17,149,1,1
255,149,1,0.09
15,24,1,1
16,24,1,1
23,24,1,1
25,24,1,1
255,24,1,0.18
15,366,1,1
23,366,1,1
24,366,1,1
25,366,1,1
26,366,1,1
255,366,1,0.18
16,34,1,1
17,34,1,1
19,34,1,1
20,34,1,1
21,34,1,1
23,34,1,1
24,34,1,1
255,34,1,0.23
17,150,1,1
255,150,1,0.03
19,151,1,0.38
255,151,1,0.02
19,152,1,1
21,152,1,1
23,152,1,1
24,152,1,1
255,152,1,0.13
19,153,1,0.57
24,153,1,1
255,153,1,0.05
19,154,1,0.57
255,154,1,0.03
21,155,1,0.78
255,155,1,0.03
21,156,1,0.78
24,156,1,1
255,156,1,0.04
23,157,1,1
255,157,1,0.03
24,158,1,1
255,158,1,0.03
24,159,1,1
255,159,1,0.03
25,160,1,1
26,160,1,1
255,160,1,0.07
25,161,1,1
255,161,1,0.03
26,162,1,1
255,162,1,0.04
26,359,1,1
255,359,1,0.04
